Company Name,BSE Number,Group
Company,Code,Group
Bigbloc Construction Ltd.,540061,B
Bihar Sponge Iron Ltd.,500058,X
Bijlee Textiles Ltd.,512313,XT
Bijoy Hans Ltd.,524723,X
Bikaji Foods International Ltd.,543653,A
Bil Energy Systems Ltd.,533321,Z
Bilcare Ltd.,526853,X
Billwin Industries Ltd.,543209,M
Bimetal Bearings Ltd.,505681,X
Binani Industries Ltd.,500059,T
Binayak Tex Processors Ltd.,523054,XT
Bindal Exports Ltd.,540148,MT
Binny Ltd.,514215,Z
Bio Green Papers Ltd.,534535,XT
Biocon Ltd.,532523,A
Biofil Chemicals & Pharmaceuticals Ltd.,524396,B
Biogen Pharmachem Industries Ltd.,531752,X
Biopac India Corporation Ltd.,532330,XT
Birla Cable Ltd.,500060,B
Birla Capital And Financial Services Ltd.,512332,Z
Birla Corporation Ltd.,500335,A
Birla Cotsyn (India) Ltd.,533006,Z
Birla Precision Technologies Ltd.,522105,X
Birla Tyres Ltd.,542932,T
Birlasoft Ltd.,532400,A
Bisil Plast Ltd.,531671,XT
BITS Ltd.,526709,XT
Bizotic Commercial Ltd.,543926,MT
BJ Duplex Boards Ltd.,531647,XT
BKM Industries Ltd.,539043,Z
BKV Industries Ltd.,519500,X
Black Box Ltd.,500463,B
Black Rose Industries Ltd.,514183,X
BLB Ltd.,532290,B
Bliss GVS Pharma Ltd.,506197,B
Bloom Dekor Ltd.,526225,XT
Bloom Industries Ltd.,513422,XT
BLS E-Services Ltd.,544107,B
BLS Infotech Ltd.,531175,Z
BLS International Services Ltd.,540073,A
Blue Blends (India) Ltd.,502761,Z
Blue Chip India Ltd.,531936,T
Blue Chip Tex Industries Ltd.,506981,X
Blue Circle Services Ltd.,508939,XT
Blue Cloud Softech Solutions Ltd.,539607,B
Blue Coast Hotels Ltd.,531495,T
Blue Dart Express Ltd.,526612,A
Blue Jet Healthcare Ltd,544009,B
Blue Pearl Agriventures Ltd.,514440,XT
Blue Star Ltd.,500067,A
Blueblood Ventures Ltd.,539637,M
Bluechip Stockspin Ltd.,531713,ZP
